[?1034hType                           Module                      Label           Process   
-------------------------------------------------------------------------------------
GenEventInfoProduct            "generator"                 ""              "SIM"     
double                         "ak5CaloJets"               "rho"           "RECO"    
double                         "ak5PFJets"                 "rho"           "RECO"    
double                         "ak5TrackJets"              "rho"           "RECO"    
double                         "ak7BasicJets"              "rho"           "RECO"    
double                         "ak7CaloJets"               "rho"           "RECO"    
double                         "ak7PFJets"                 "rho"           "RECO"    
double                         "kt4CaloJets"               "rho"           "RECO"    
double                         "kt4PFJets"                 "rho"           "RECO"    
double                         "kt6CaloJets"               "rho"           "RECO"    
double                         "kt6CaloJetsCentral"        "rho"           "RECO"    
double                         "kt6PFJets"                 "rho"           "RECO"    
double                         "kt6PFJetsCentralChargedPileUp"   "rho"           "RECO"    
double                         "kt6PFJetsCentralNeutral"   "rho"           "RECO"    
double                         "kt6PFJetsCentralNeutralTight"   "rho"           "RECO"    
double                         "ak5GenJetsNoNu"            "rho"           "PAT"     
double                         "ak7GenJetsNoNu"            "rho"           "PAT"     
double                         "ak8GenJetsNoNu"            "rho"           "PAT"     
double                         "ca8GenJetsNoNu"            "rho"           "PAT"     
double                         "ca8PFJetsPFlow"            "rho"           "PAT"     
double                         "caFilteredGenJetsNoNu"     "rho"           "PAT"     
double                         "caFilteredPFlow"           "rho"           "PAT"     
double                         "caHEPTopTagGen"            "rho"           "PAT"     
double                         "caHEPTopTagPFlow"          "rho"           "PAT"     
double                         "caMassDropFilteredGenJetsNoNu"   "rho"           "PAT"     
double                         "caMassDropFilteredPFlow"   "rho"           "PAT"     
double                         "caPrunedGen"               "rho"           "PAT"     
double                         "caPrunedPFlow"             "rho"           "PAT"     
double                         "caTopTagGen"               "rho"           "PAT"     
double                         "caTopTagPFlow"             "rho"           "PAT"     
double                         "iterativeCone5GenJetsNoNu"   "rho"           "PAT"     
double                         "kt6PFJetsForIsolation"     "rho"           "PAT"     
double                         "kt6PFJetsForRhoComputationVoronoi"   "rho"           "PAT"     
double                         "kt6PFJetsForRhoComputationVoronoiPFlow"   "rho"           "PAT"     
double                         "pfJetsPFlow"               "rho"           "PAT"     
vector<reco::GenParticle>      "prunedGenParticles"        ""              "PAT"     
int                            "pileup"                    "npvRealTrue"   "ANA"     
int                            "pileup"                    "npvTrue"       "ANA"     
vector<double>                 "pdfWeights"                "CT10"          "ANA"     
vector<double>                 "pdfWeights"                "GJR08VFnloE"   "ANA"     
vector<double>                 "pdfWeights"                "cteq66"        "ANA"     
vector<float>                  "pfShyftTupleElectrons"     "charge"        "ANA"     
vector<float>                  "pfShyftTupleElectronsLoose"   "charge"        "ANA"     
vector<float>                  "pfShyftTupleMuons"         "charge"        "ANA"     
vector<float>                  "pfShyftTupleMuonsLoose"    "charge"        "ANA"     
vector<float>                  "pfShyftTupleJets"          "csv"           "ANA"     
vector<float>                  "pfShyftTupleElectrons"     "eta"           "ANA"     
vector<float>                  "pfShyftTupleElectronsLoose"   "eta"           "ANA"     
vector<float>                  "pfShyftTupleJets"          "eta"           "ANA"     
vector<float>                  "pfShyftTupleMuons"         "eta"           "ANA"     
vector<float>                  "pfShyftTupleMuonsLoose"    "eta"           "ANA"     
vector<float>                  "pfShyftTupleJets"          "jetFlavor"     "ANA"     
vector<float>                  "pfShyftTupleJets"          "mass"          "ANA"     
vector<float>                  "pfShyftTupleElectrons"     "pfiso"         "ANA"     
vector<float>                  "pfShyftTupleElectronsLoose"   "pfiso"         "ANA"     
vector<float>                  "pfShyftTupleMuons"         "pfiso"         "ANA"     
vector<float>                  "pfShyftTupleMuonsLoose"    "pfiso"         "ANA"     
vector<float>                  "pfShyftTupleElectrons"     "pfisoCH"       "ANA"     
vector<float>                  "pfShyftTupleElectronsLoose"   "pfisoCH"       "ANA"     
vector<float>                  "pfShyftTupleMuons"         "pfisoCH"       "ANA"     
vector<float>                  "pfShyftTupleMuonsLoose"    "pfisoCH"       "ANA"     
vector<float>                  "pfShyftTupleElectrons"     "pfisoNH"       "ANA"     
vector<float>                  "pfShyftTupleElectronsLoose"   "pfisoNH"       "ANA"     
vector<float>                  "pfShyftTupleMuons"         "pfisoNH"       "ANA"     
vector<float>                  "pfShyftTupleMuonsLoose"    "pfisoNH"       "ANA"     
vector<float>                  "pfShyftTupleElectrons"     "pfisoPH"       "ANA"     
vector<float>                  "pfShyftTupleElectronsLoose"   "pfisoPH"       "ANA"     
vector<float>                  "pfShyftTupleMuons"         "pfisoPH"       "ANA"     
vector<float>                  "pfShyftTupleMuonsLoose"    "pfisoPH"       "ANA"     
vector<float>                  "pfShyftTupleMuons"         "pfisoPU"       "ANA"     
vector<float>                  "pfShyftTupleMuonsLoose"    "pfisoPU"       "ANA"     
vector<float>                  "pfShyftTupleElectrons"     "phi"           "ANA"     
vector<float>                  "pfShyftTupleElectronsLoose"   "phi"           "ANA"     
